,주제,설명,활동,역할,비고
1,나는 오브제다,"나의 몸 전체, 또는 몸 일부가 오브제가 되기 위한 훈련과 놀이. 몸 전체가 뼈 인형 되기, 리모콘으로 조종되는 로봇 되기 등.","몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
2,너는 오브제다,"상대 파트너를 오브제로 다루기. 조각 만들기,줄인형으로 조작하기, 연 날리기, 짧게 구성한 극 만들기 등.","몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
3,우리는 오브제다,"둘 혹은 여럿이서 하나의 오브제, 인형, 한 세트의 인형 등이 되기.","몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
4,사물 여행,"다양한 사물들로 순간적으로 변하기(shift), 점진적으로 변하기 훈련(transformation). 각 사물들 특유의 성질을 체험하고 발표를 통해 서로 나누기.","몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
5,나무 여행,나무가 되어서 나무의 일생을 여행하기. 자신만의 나무의 일생을 발표하기. 발표된 것을 서로 나누면서 각자의 삶을 이해하기.,"몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
6,물 여행,물이 되어서 물의 일생을 여행하기. 자신만의 물의 일생을 발표하기. 발표된 것을 서로 나누면서 각자의 삶을 이해하기.,"몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
7,불 여행,불이 되어서 불의 일생을 여행하기. 자신만의 불의 일생을 발표하기. 발표된 것을 서로 나누면서 각자의 삶을 이해하기.,"몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
8,바람 여행,바람이 되어서 바람의 일생을 여행하기. 자신만의 바람의 일생을 발표하기. 발표된 것을 서로 나누면서 각자의 삶을 이해하기.,"몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
9,흙 여행,흙이 되어서 흙의 일생을 여행하기. 자신만의 흙의 일생을 발표하기. 발표된 것을 서로 나누면서 각자의 삶을 이해하기.,"몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
10,손 여행,한 손만이 오브제나 다른 생명이 되어서 움직이고 여행을 한다. 나머지 몸은 철저히 중성이거나 그것의 멋진 배경으로 변한다.,"몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
11,가면 여행,"한 오브제를 만진 손, 한 오브제를 상상한 손이 얼굴에 가면처럼 달라붙는다. 그러면 얼굴은 그 오브제로 변하고, 이내 몸 전체가 그 오브제가 된다. 자신의 몸이 상상의 오브제로 변하는 순간의 마술, 그로 인한 즉흥극을 만든다.","몸훈련, 연기, 발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
12,발표회,지금까지의 작품들 중 인상적인 것들을 모아 최종 발표회를 갖는다.,"발표, 감상 및 토론",모든 단계가 발전적으로 이어지도록 지도.,-
